ID Code,Tablet Name,Language,Object,Surface,Line Number,Original Text,Translation
P100065,AAS 078,sux,,,1,1(u) gin2 ku3-babbar,
P100065,AAS 078,sux,,,2,iti min-esz3-ta,
P100065,AAS 078,sux,,,3,u4 5(disz)-am3 zal-la,
P100065,AAS 078,sux,,,4,lugal-he2-gal2,
P100065,AAS 078,sux,,,5,in-la2-e-a,
P100065,AAS 078,sux,,,6,bi2-in-du11,
P100065,AAS 078,sux,,,7,tukum-bi nu-la2,
P100065,AAS 078,sux,,,1,2(u) sze [gur lugal],
P100065,AAS 078,sux,,,2,i3-ag2-e-a,
P100065,AAS 078,sux,,,3,mu lugal in-pa3,
P100065,AAS 078,sux,,,4,igi a-tu-sze3,
P100065,AAS 078,sux,,,5,igi ab-ba-gi-na-sze3#,
P100065,AAS 078,sux,,,6,igi lugal-nesag-e-sze3,
P100065,AAS 078,sux,,,7,iti min-esz3,
P100065,AAS 078,sux,,,8,mu {d}i-bi2-{d}suen lugal,
P100065,AAS 078,sux,,,1,lugal-he2-gal2,
P100065,AAS 078,sux,,,2,dub-sar,
P100065,AAS 078,sux,,,3,dumu ur-[...],
P100099,AAS 113,sux,,,1,1(ban2) kasz 1(ban2) [...],
P100099,AAS 113,sux,,,2,1(disz) sila3 [...],
P100099,AAS 113,sux,,,3,1(u)? [...] gesz,
P100099,AAS 113,sux,,,4,1(barig) kasz#? [...] x [...],
P100099,AAS 113,sux,,,5,3(ban2) [x],
P100099,AAS 113,sux,,,6,nam-ha-ni sagi,
P100099,AAS 113,sux,,,1,{d}gu-la,
P100099,AAS 113,sux,,,2,mu-da-gen-na-a,
P100099,AAS 113,sux,,,3,iti sze-kar-ra-gal2-la,
P100107,AAS 121,sux,,,1,1(disz) igi-sag szum2-ma,
P100107,AAS 121,sux,,,2,ki lu2-dingir-ra-ta,
P100107,AAS 121,sux,,,3,ur-am3-ma-ke4,
P100107,AAS 121,sux,,,4,su-su-dam,
P100107,AAS 121,sux,,,1,[...],
P100107,AAS 121,sux,,,2,[...] x,
P100107,AAS 121,sux,,,3,[...] mu#-ni-sze3#,
P100107,AAS 121,sux,,,4,iti sze#-sag11#-ku5,
P100107,AAS 121,sux,,,5,mu en eridu{ki} ba-hun,
P100148,AAS 168,sux,,,1,4(ban2) la2 1(disz) sila3 en-nu,
P100148,AAS 168,sux,,,2,2(ban2) 5(disz) gin2 szu-{d}szul-gi,
P100148,AAS 168,sux,,,3,8(disz) sila3 4(disz) gin2 tab-be-li2 u3 dan-num2,
P100148,AAS 168,sux,,,4,4(disz) sila3 2(disz) gin2 gu3-de2-a mar-tu,
P100148,AAS 168,sux,,,5,8(disz) sila3 2(disz) gin2 i-di3-a,
P100148,AAS 168,sux,,,6,4(disz) sila3 SIG7-a,
P100148,AAS 168,sux,,,7,4(disz) sila3 1(disz) [n gin2 x-x]-i3-li2,
P100148,AAS 168,sux,,,8,2(ban2) 2(disz) gin2 puzur4-{d}suen,
P100148,AAS 168,sux,,,1,8(disz) sila3 4(disz) gin2 lu2-u2-me,
P100148,AAS 168,sux,,,2,1(ban2) 2(disz) gin2 u2-bur-li,
P100148,AAS 168,sux,,,3,5(disz) sila3 2(disz) gin2 lu2-bala-sa6 ur-{gesz}gigir ra2-gaba-da du,
P100148,AAS 168,sux,,,4,u4 2(u) 7(disz)-kam,
P100148,AAS 168,sux,,,5,iti GAN2-masz,
P100149,AAS 169,sux,,,1,1(ban2) 5(disz) sila3 zi3 u4 3(disz)-kam sza3-iri,
P100149,AAS 169,sux,,,2,5(disz) sila3 zi3 kaskal,
P100149,AAS 169,sux,,,3,ka5-a sukkal,
P100149,AAS 169,sux,,,4,sa-bu-um{ki}-sze3 du-ni,
P100149,AAS 169,sux,,,5,1(ban2) zi3! u4 2(disz)-kam,
P100149,AAS 169,sux,,,6,szu-{d}en-lil2 dumu nu-banda3,
P100149,AAS 169,sux,,,7,1(ban2) zi3 u4 2(disz)-kam,
P100149,AAS 169,sux,,,8,kal-la-mu aga3-us2-gal,
P100149,AAS 169,sux,,,9,[...]{ki}-ta du-ni,
P100149,AAS 169,sux,,,1',1(ban2) [...],
P100149,AAS 169,sux,,,2',da-da-ni dumu nu-banda3,
P100149,AAS 169,sux,,,3',4(disz) sila3 zi3 u4 2(disz)-kam,
P100149,AAS 169,sux,,,4',e-la-nu-id lu2 kas4,
P100149,AAS 169,sux,,,5',sa-bu-um{ki}-ta du-ni,
P100149,AAS 169,sux,,,6',5(disz) sila3 zi3 sza3-iri,
P100149,AAS 169,sux,,,7',5(disz) sila3 zi3 kaskal-sze3,
P100149,AAS 169,sux,,,8',szu-ku-bu-um aga3-us2-gal,
P100149,AAS 169,sux,,,1,szuszin{ki}-sze3 du-ni,
P100149,AAS 169,sux,,,2,iti gu4-ra2-bi2-[mu2-mu2 u4 x-kam],
P100159,AAS 179,sux,,,1,1(disz) gu4 niga,
P100159,AAS 179,sux,,,2,ki ur-{d}ba-ba6-ta,
P100159,AAS 179,sux,,,3,gu-za-ni i3-dab5,
P100159,AAS 179,sux,,,4,kiszib3 ur-{d}ba#-ba6# dumu x-[...],
P100159,AAS 179,sux,,,1,[...],
P100159,AAS 179,sux,,,4,mu puzur4-isz#-{d}da-gan ba-du3,
P100188,AAS 210,sux,,,1,masz#-da# [x],
P100188,AAS 210,sux,,,2,dumu x [x],
P100188,AAS 210,sux,,,3,[x x] dumu#? [x],
P100188,AAS 210,sux,,,4,[x] x mar? [x],
P100188,AAS 210,sux,,,5,x [...],
P100240,"Aegyptus 26, 159 7",sux,,,1,1(u) 7(disz) udu bar-gal2,
P100240,"Aegyptus 26, 159 7",sux,,,2,2(disz) udu bar-su-ga,
P100240,"Aegyptus 26, 159 7",sux,,,3,7(disz) masz2,
P100240,"Aegyptus 26, 159 7",sux,,,4,4(barig) 1(ban2) 1(disz) 5/6(disz) sila3 i3-nun,
P100240,"Aegyptus 26, 159 7",sux,,,5,2(u) 1(disz) ga gazi,
P100240,"Aegyptus 26, 159 7",sux,,,6,4(barig) 2(disz) 1/2(disz) sila3 ga gal,
P100240,"Aegyptus 26, 159 7",sux,,,7,7(disz) sila3 ga-sze-a,
P100240,"Aegyptus 26, 159 7",sux,,,1,4(asz) gu2 2(u) 5(disz) ma-na siki-ud5,
P100240,"Aegyptus 26, 159 7",sux,,,2,nig2-ka9 nam-szusz3-ta,
P100240,"Aegyptus 26, 159 7",sux,,,3,ugu2 ur-e11-e,
P100240,"Aegyptus 26, 159 7",sux,,,4,kiszib3 ur-{d}szara2,
P100240,"Aegyptus 26, 159 7",sux,,,5,mu sza-asz-ru{ki} a-ra2 2(disz)-kam ba-hul,
P100240,"Aegyptus 26, 159 7",sux,,,1,ur-{d}szara2,
P100240,"Aegyptus 26, 159 7",sux,,,2,dub-sar,
P100240,"Aegyptus 26, 159 7",sux,,,3,dumu lugal-uszur4,
P100257,"Aegyptus 27, 34 24",sux,,,1,1(disz) udu niga ba-usz2,
P100257,"Aegyptus 27, 34 24",sux,,,2,ki an-na-hi-li-bi-ta,
P100257,"Aegyptus 27, 34 24",sux,,,3,kiszib3 lu2-kal-la,
P100257,"Aegyptus 27, 34 24",sux,,,4,iti pa4-u2-e,
P100257,"Aegyptus 27, 34 24",sux,,,1,mu en-unu6-gal {d}inanna ba-hun,
P100257,"Aegyptus 27, 34 24",sux,,,1,lu2-kal-la,
P100257,"Aegyptus 27, 34 24",sux,,,2,dub-sar,
P100257,"Aegyptus 27, 34 24",sux,,,3,dumu ur-e11-e szusz3,
P100265,"Aegyptus 29, 105, no. 32",sux,,,1,2(disz) udu niga saga us2,
P100265,"Aegyptus 29, 105, no. 32",sux,,,2,1(disz) gukkal niga,
P100265,"Aegyptus 29, 105, no. 32",sux,,,3,1(disz) u8 niga,
P100265,"Aegyptus 29, 105, no. 32",sux,,,4,1(disz) udu,
P100265,"Aegyptus 29, 105, no. 32",sux,,,5,1(disz) ud5,
P100265,"Aegyptus 29, 105, no. 32",sux,,,6,4(disz) sila4,
P100265,"Aegyptus 29, 105, no. 32",sux,,,7,1(disz) kir11,
P100265,"Aegyptus 29, 105, no. 32",sux,,,1,ba-usz2 u4 1(u) 6(disz)-kam,
P100265,"Aegyptus 29, 105, no. 32",sux,,,2,ki lu2-dingir-ra-ta,
P100265,"Aegyptus 29, 105, no. 32",sux,,,3,ur-nigar{gar},
P100265,"Aegyptus 29, 105, no. 32",sux,,,4,szu ba-ti,
P100265,"Aegyptus 29, 105, no. 32",sux,,,5,iti ki-siki-{d}nin-a-zu,
P100265,"Aegyptus 29, 105, no. 32",sux,,,6,mu {d}amar-{d}suen lugal,
P100267,"Aegyptus 29, 106, no. 34",sux,,,1,1(disz) gu4,
P100267,"Aegyptus 29, 106, no. 34",sux,,,2,1(u) udu u2,
P100267,"Aegyptus 29, 106, no. 34",sux,,,3,nir-i3-da-gal2,
P100267,"Aegyptus 29, 106, no. 34",sux,,,4,mu-kux(DU),
P100267,"Aegyptus 29, 106, no. 34",sux,,,5,{d}szul-gi-si2-im-tum,
P100267,"Aegyptus 29, 106, no. 34",sux,,,1,be-li2-du10 kuruszda,
P100267,"Aegyptus 29, 106, no. 34",sux,,,2,i3-dab5,
P100267,"Aegyptus 29, 106, no. 34",sux,,,3,iti ezem-me-ki-gal2,
P100267,"Aegyptus 29, 106, no. 34",sux,,,4,mu us2-sa an-sza-an{ki} ba-hul,
P100281,OBTI 193,akk,,,1,3(barig) 3(ban2) 6(asz3)# _sila3 sze_,
P100281,OBTI 193,akk,,,2,me-ra-nu-um,
P100281,OBTI 193,akk,,,3,_dumu_ su2-ga-gu-um,
P100281,OBTI 193,akk,,,1,_ugula_ me-ra-nu-um,
P100281,OBTI 193,akk,,,1,sza3 _masz-kak-en_,
P100300,"AfO 40-41, 58, 5",sux,,,1,igi-gal2-lugal-uru11{ki}-ta,
P100300,"AfO 40-41, 58, 5",sux,,,2,5(gesz2) 3(u) ninda im-du8-a szu di-di 1(disz) 1/2(disz)-ta#,
P100300,"AfO 40-41, 58, 5",sux,,,3,8(gesz2) 2(u) ninda gi-du3,
P100300,"AfO 40-41, 58, 5",sux,,,4,bara2-si-ga {d}nin-mar{ki}-sze3,
P100300,"AfO 40-41, 58, 5",sux,,,5,bara2-si-ga {d}nin-mar{ki}-ta,
P100300,"AfO 40-41, 58, 5",sux,,,6,1(gesz'u) 1(u) 5(disz) ninda im-du8-a# szu du11-du11-ga,
P100300,"AfO 40-41, 58, 5",sux,,,1,gesz-kesz2 {d}en-lil2-la2-sze3,
P100300,"AfO 40-41, 58, 5",sux,,,2,gesz-kesz2 {d}en-lil2-<la2>-ta,
P100300,"AfO 40-41, 58, 5",sux,,,3,4(gesz2) 3(u) ninda gi-du3,
P100300,"AfO 40-41, 58, 5",sux,,,4,e2-sar-ra-du10-sze3,
P100300,"AfO 40-41, 58, 5",sux,,,5,a-sza3 {d}nansze-gar-ra,
P100300,"AfO 40-41, 58, 5",sux,,,6,e2 {d}nin-gesz-zi-da,
P100300,"AfO 40-41, 58, 5",sux,,,1,sanga {d}nin-gesz-zi-da,
P100437,Aleppo 105,sux,,,1,1(gesz2) sa gi,
P100437,Aleppo 105,sux,,,2,ki lu2-{d}nin-szubur-ta,
P100437,Aleppo 105,sux,,,3,lugal-ezem szu ba-ti,
P100437,Aleppo 105,sux,,,4,iti e2-iti-6(disz),
P100437,Aleppo 105,sux,,,1,lugal-ezem,
P100437,Aleppo 105,sux,,,2,dub-sar,
P100437,Aleppo 105,sux,,,3,dumu lugal-e2-mah-e,
P100437,Aleppo 105,sux,,,4,szabra,
P100459,Aleppo 127,sux,,,1,1(gesz2) sa gi,
P100459,Aleppo 127,sux,,,2,e2-udu du3-a,
P100459,Aleppo 127,sux,,,3,lugal-nesag-e,
P100459,Aleppo 127,sux,,,4,szu ba-ti,
P100463,Aleppo 131,sux,,,1,2(asz) gu2 gi,
P100463,Aleppo 131,sux,,,2,ur3 e2-uz-ga,
P100463,Aleppo 131,sux,,,3,ki lu2-{d}nin-szubur-ta,
P100463,Aleppo 131,sux,,,4,kiszib3 lu2-kal-la,
P100463,Aleppo 131,sux,,,1,sza3 bala-a,
P100463,Aleppo 131,sux,,,2,iti min-esz3,
P100463,Aleppo 131,sux,,,3,mu us2-sa an-sza-an{ki} ba-hul,
P100463,Aleppo 131,sux,,,1,[lu2]-kal-la#,
P100463,Aleppo 131,sux,,,2,[dub]-sar,
P100463,Aleppo 131,sux,,,3,[dumu lugal]-en#-nun#,
P100525,Aleppo 193,sux,,,1,9(disz) 1/2(disz) gurusz gi ku5-ra2 2(u) sar-ta,
P100525,Aleppo 193,sux,,,2,gurum2 ak u4 1(disz)-kam,
P100525,Aleppo 193,sux,,,3,ugula ur-{d}ma-mi,
P100525,Aleppo 193,sux,,,4,a-sza3 GAN2?-mah,
P100525,Aleppo 193,sux,,,5,GAN2 ur-e2-nun-na-ta,
P100525,Aleppo 193,sux,,,1,iti {d}li9-si4,
P100525,Aleppo 193,sux,,,2,kiszib3 lugal-ku3-zu,
P100525,Aleppo 193,sux,,,3,mu ha-ar-szi{ki} hu-ur5-ti{ki} ki-masz{ki} asz-sze3 ba-hul,
P100525,Aleppo 193,sux,,,1,lugal-ku3-zu,
P100525,Aleppo 193,sux,,,2,dub-sar,
P100525,Aleppo 193,sux,,,3,dumu ur-nigar{gar} szusz3,
P100526,Aleppo 194,sux,,,1,1(u) 7(disz) gurusz u4 1(disz)-sze3,
P100526,Aleppo 194,sux,,,2,kab2-ku5 gu4-suhub2-ka# gub-ba,
P100526,Aleppo 194,sux,,,3,6(disz) sar 1(u) 5(disz) gin2 sahar,
P100526,Aleppo 194,sux,,,4,3(u) gurusz u4 1(disz)-sze3,
P100526,Aleppo 194,sux,,,5,{u2}har-an ga6-ga2,
P100526,Aleppo 194,sux,,,6,5(disz) gurusz u4 1(disz)-sze3,
P100526,Aleppo 194,sux,,,7,kab2-ku5-a# a# de2-a,
P100526,Aleppo 194,sux,,,1,kab2-ku5 u2-du-{d}nin-a-ra-li-ka,
P100526,Aleppo 194,sux,,,2,ugula ur-{d}da-mu,
P100526,Aleppo 194,sux,,,3,kiszib3 inim-{d}inanna,
P100526,Aleppo 194,sux,,,4,mu {d}amar#-{d}suen lugal#,
P100526,Aleppo 194,sux,,,1,inim-{d}inanna,
P100526,Aleppo 194,sux,,,2,dumu lugal-[iti-da],
P100610,Aleppo 278,sux,,,1,1(u) 8(disz) gurusz u4 1(disz)-sze3,
P100610,Aleppo 278,sux,,,2,ur-dub-la2 aszgab,
P100610,Aleppo 278,sux,,,3,ki lugal-iti-da dumu giri3-ni-ta,
P100610,Aleppo 278,sux,,,4,kiszib3 a-kal-la aszgab,
P100610,Aleppo 278,sux,,,1,iti {d}dumu-zi,
P100610,Aleppo 278,sux,,,2,mu ha-ar-szi{ki} u3 ki-masz{ki} ba-hul,
P100610,Aleppo 278,sux,,,1,a-kal-la,
P100610,Aleppo 278,sux,,,2,dumu lu2-bulug3-ga2 aszgab-gal,
P100672,Aleppo 340,sux,,,1,1(ban2) 5(disz) sila3 zu2-lum,
P100672,Aleppo 340,sux,,,2,1(barig) kasz dida du,
P100672,Aleppo 340,sux,,,3,1(barig) kasz dida saga 1(ban2) 5(disz) sila3 <kasz du>,
P100672,Aleppo 340,sux,,,4,1(barig) 3(ban2) dabin,
P100672,Aleppo 340,sux,,,5,2(disz) sila3 i3-nun,
P100672,Aleppo 340,sux,,,6,2(disz) sila3 ga-ar3,
P100672,Aleppo 340,sux,,,7,x sila3 i3-nun du10-ga,
P100672,Aleppo 340,sux,,,8,x sila3 i3-gu du10-ga,
P100672,Aleppo 340,sux,,,9,[x] sila3 bappir du10-ga,
P100672,Aleppo 340,sux,,,1',[x sila3] esza,
P100672,Aleppo 340,sux,,,2',[...] zi3 dub-dub,
P100672,Aleppo 340,sux,,,3',[...] 2(ban2) zi3-gu du,
P100672,Aleppo 340,sux,,,4',1(disz) sila3 i3-nun,
P100672,Aleppo 340,sux,,,5',1(disz) sila3 ga-ar3,
P100672,Aleppo 340,sux,,,6',1(disz) sila3 bappir du10-ga,
P100672,Aleppo 340,sux,,,7',siskur2 sza3 e2-a,
P100672,Aleppo 340,sux,,,8',[...] 3(ban2) zi3 gur,
P100672,Aleppo 340,sux,,,9',[...] 3(ban2) esza,
P100672,Aleppo 340,sux,,,10',[...] 3(ban2) zi3 dub-dub,
P100672,Aleppo 340,sux,,,1,[mu {d}x]-{d}suen lugal,
P100690,Aleppo 358,sux,,,1,4(gesz2) 3(disz) udu bar-gal2,
P100690,Aleppo 358,sux,,,2,2(u) 4(disz) udu bar-su-ga,
P100690,Aleppo 358,sux,,,3,1(gesz2) 3(u) la2 [x] masz2,
P100690,Aleppo 358,sux,,,4,ki lugal-a2-zi-da-ta,
P100690,Aleppo 358,sux,,,1,inim-{d}szara2 i3-dab5,
P100690,Aleppo 358,sux,,,2,iti sze-sag-ku5-ta,
P100690,Aleppo 358,sux,,,3,iti {d}li9-si4-sze3,
P100690,Aleppo 358,sux,,,4,mu an-sza-an{ki} ba-hul,
P100695,Aleppo 363,sux,,,1,1(disz) udu ba-usz2,
P100695,Aleppo 363,sux,,,2,ki ur-ru-ta,
P100695,Aleppo 363,sux,,,3,[kiszib3] ARAD2,
P100695,Aleppo 363,sux,,,4,[...]-sa6-sa6,
P100695,Aleppo 363,sux,,,5,[...],
P100695,Aleppo 363,sux,,,1,giri3 a-du,
P100695,Aleppo 363,sux,,,1,ARAD2-mu,
P100695,Aleppo 363,sux,,,2,dub-sar,
P100695,Aleppo 363,sux,,,3,dumu ur-nigar{gar} szusz3,
P100701,Aleppo 369,sux,,,1,1(disz) udu kur-ra ba-usz2,
P100701,Aleppo 369,sux,,,2,ki ur-ru-ta,
P100701,Aleppo 369,sux,,,3,a-kal-la szu ba-ti,
P100701,Aleppo 369,sux,,,4,iti nesag,
P100701,Aleppo 369,sux,,,5,mu {d}szul-gi lugal-e bad3 ma-da mu-du3,
P100701,Aleppo 369,sux,,,1,a-kal-la,
P100701,Aleppo 369,sux,,,2,dub-sar,
P100701,Aleppo 369,sux,,,3,dumu ur-nigar{gar} szusz3,
P100703,Aleppo 371,sux,,,1,1(disz) u8 ba-usz2,
P100703,Aleppo 371,sux,,,2,ki ur-{d}isztaran-ta,
P100703,Aleppo 371,sux,,,3,a-kal-la szu ba-ti,
P100703,Aleppo 371,sux,,,4,iti e2-iti-6(disz),
P100703,Aleppo 371,sux,,,1,mu bad3 ba-du3,
P100703,Aleppo 371,sux,,,1,a-kal-la,
P100703,Aleppo 371,sux,,,2,dub-sar,
P100703,Aleppo 371,sux,,,3,dumu ur-nigar{gar} szusz3,
P100723,Aleppo 391,sux,,,1,1(disz) udu-nita2 ba-usz2,
P100723,Aleppo 391,sux,,,2,1(disz) sila4 ASZ-ur4 ba-usz2,
P100723,Aleppo 391,sux,,,3,ki ur-u3-ta,
P100723,Aleppo 391,sux,,,4,sza3 bala-a,
P100723,Aleppo 391,sux,,,1,kiszib3 ARAD2,
P100723,Aleppo 391,sux,,,2,iti sze-sag11-ku5,
P100723,Aleppo 391,sux,,,3,mu us2-sa ki-masz{ki} ba-hul,
P100723,Aleppo 391,sux,,,1,ARAD2-mu,
P100723,Aleppo 391,sux,,,2,dub-sar,
P100723,Aleppo 391,sux,,,3,dumu ur-nigar{gar} szusz3,
P100764,Aleppo 432,sux,tag,,1,pisan-dub-ba,Basket-of-tablets:
P100764,Aleppo 432,sux,tag,,2,nig2-ka9-ak u3 kiszib3 dab#?-ba,"accounts and sealed documents of conveyance,"
P100764,Aleppo 432,sux,tag,,3,lu2-zabala3 sipa udu ge6,"of Lu-Zabala, herder of black sheep,"
P100764,Aleppo 432,sux,tag,,4,mu us2-sa bad3 ba-du3-ta,from the year following: “The wall was erected”
P100764,Aleppo 432,sux,tag,,5,mu ur-bi2-lum{ki} ba-hul-sze3,to the year: “Urbilum was destroyed”
P100764,Aleppo 432,sux,tag,,1,i3-gal2,are here.
P100767,Aleppo 435,sux,tag,,1,pisan#-dub-ba,Basket-of-tablets:
P100767,Aleppo 435,sux,tag,,2,e2-tum,‘chambers’ of
P100767,Aleppo 435,sux,tag,,3,ab2# e2#-tur3,cows of the stall
P100767,Aleppo 435,sux,tag,,4,u3# gu4-{gesz}apin,"and plow-oxen,"
P100767,Aleppo 435,sux,tag,,5,mu# en-mah-gal-an-na,year: “Enmaḫgalana.”
P100768,Aleppo 436,sux,tag,,1,1(disz) 2/3(disz) ma-na 8(disz) gin2 igi-4(disz)-gal2 ku3,
P100768,Aleppo 436,sux,tag,,2,ki da-da-ga-ta,
P100768,Aleppo 436,sux,tag,,3,ur-{d}dumu-zi-da,
P100768,Aleppo 436,sux,tag,,4,szu ba-ti,
P100775,Aleppo 443,sux,tag,,1,1/2(disz) ma#-na# ku3-babbar,
P100775,Aleppo 443,sux,tag,,2,la2-ia3 su-ga siki#,
P100775,Aleppo 443,sux,tag,,3,ki ur-{gesz}gigir sipa-ta,
P100775,Aleppo 443,sux,tag,,4,ugu2 da-da-ga ba-a-gar,
P100775,Aleppo 443,sux,tag,,1,kiszib3 ur-{d}szara2,
P100775,Aleppo 443,sux,tag,,2,mu si-mu-ru-um{ki} lu-lu-bu a-ra2 1(u) la2 1(disz@t)-kam ba-hul,
P100779,Aleppo 447,sux,tag,,1,1/3(disz)#? ma#-na ku3-babbar,
P100779,Aleppo 447,sux,tag,,2,ku3 masz a-sza3-ga ku3-babbar,
P100779,Aleppo 447,sux,tag,,3,gi sa10-sa10-de3,
P100779,Aleppo 447,sux,tag,,4,ki a-kal-la-ta,
P100779,Aleppo 447,sux,tag,,1,lugal-e2-mah-e,
P100779,Aleppo 447,sux,tag,,2,szu ba-ti,
P100779,Aleppo 447,sux,tag,,3,iti ezem-{d}szul-gi,
P100779,Aleppo 447,sux,tag,,4,mu us2-sa a-ra2 3(disz@t)-kam si-mu-ru-um{ki} ba-hul,
P100782,Aleppo 450,sux,tag,,1,2(disz) gin2 ku3-babbar,
P100782,Aleppo 450,sux,tag,,2,ki ki-lu5-la-ta,
P100782,Aleppo 450,sux,tag,,3,2(disz) gin2 igi-4(disz)-gal2 ku3,
P100782,Aleppo 450,sux,tag,,4,ki ma-an-ba-ta,
P100782,Aleppo 450,sux,tag,,5,2(disz) 5/6(disz) gin2 ku3-babbar,
P100782,Aleppo 450,sux,tag,,1,ki nigar{gar}-ki-du10-ta,
P100782,Aleppo 450,sux,tag,,2,2(disz) gin2 ku3-babbar,
P100782,Aleppo 450,sux,tag,,3,ki a-kal-la-ta,
P100782,Aleppo 450,sux,tag,,4,masz a-sza3-ga,
P100782,Aleppo 450,sux,tag,,5,mu bad3 ba-du3,
P100784,Aleppo 452,sux,tag,,1,1/3(disz) ma-na 2(disz) 1/2(disz) gin2 2(u) 2(disz) 1/2(disz) sze ku3-babbar,
P100784,Aleppo 452,sux,tag,,2,masz a-sza3-ga,
P100784,Aleppo 452,sux,tag,,3,a-sza3 me-en-kar2,
P100784,Aleppo 452,sux,tag,,4,ki szesz-kal-la dumu na-silim-ta,
P100784,Aleppo 452,sux,tag,,1,da-da-ga,
P100784,Aleppo 452,sux,tag,,2,szu ba-ti,
P100784,Aleppo 452,sux,tag,,3,mu ki-masz{ki} ba-hul,
P100835,Aleppo 503,sux,tag,,1,4(u) 3(disz) {gesz}tug2-gurx(|SZE.KIN|),
P100835,Aleppo 503,sux,tag,,2,ki lu2-igi-sa6-sa6-ta,
P100835,Aleppo 503,sux,tag,,3,na-ba-sa2 szu ba-ti,
P100835,Aleppo 503,sux,tag,,4,iti diri,
P100835,Aleppo 503,sux,tag,,1,mu ki-masz{ki} ba-hul,
P100835,Aleppo 503,sux,tag,,1,na-ba-sa2,
P100835,Aleppo 503,sux,tag,,2,dub-sar,
P100835,Aleppo 503,sux,tag,,3,dumu ugu2-[du6],
P100883,Amherst 045,sux,tag,,1,2(asz) 3(barig) sze gur lugal la2-ia3 1/3(disz) sze,
P100883,Amherst 045,sux,tag,,2,ki ma-ti-lum engar-ta,
P100883,Amherst 045,sux,tag,,3,2(asz) 4(barig) 3(ban2) gur ki lu2-me-lam2-ma-ta,
P100883,Amherst 045,sux,tag,,4,2(asz) 2(barig) 2(ban2) gur ki a-a-kal-la engar-ta,
P100883,Amherst 045,sux,tag,,5,3(asz) 3(barig) 3(ban2) gur ki da-mu-ta,
P100883,Amherst 045,sux,tag,,6,1(asz) gur ki ur-{d}ba-ba6 szandana-ta,
P100883,Amherst 045,sux,tag,,7,4(barig) ki an-ne2-ba-ab-[du7 ...]-ta#,
P100883,Amherst 045,sux,tag,,1',mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul,
P100908,Amherst 070,sux,tag,,1,3(disz) sila3 kasz 2(disz) sila3 ninda,
P100908,Amherst 070,sux,tag,,2,4(disz) gin2 i3-gesz,
P100908,Amherst 070,sux,tag,,3,er3-ra-bi2 sukkal,
P100908,Amherst 070,sux,tag,,4,3(disz) sila3 kasz 2(disz) sila3 ninda,
P100908,Amherst 070,sux,tag,,5,5(disz) gin2 i3-gesz,
P100908,Amherst 070,sux,tag,,6,a2-NE-ni,
P100908,Amherst 070,sux,tag,,7,3(disz) sila3 kasz 2(disz) sila3 ninda,
P100908,Amherst 070,sux,tag,,1,4(disz) gin2 i3-gesz,
P100908,Amherst 070,sux,tag,,2,da-gi sukkal,
P100908,Amherst 070,sux,tag,,3,szuszin{ki}-sze3 gen-na,
P100908,Amherst 070,sux,tag,,4,iti gu4-ta-bi2-mu2-mu2,
P100908,Amherst 070,sux,tag,,5,mu en-gal-mah-an-na en {d}nanna# ba-a-hun,
P100937,Amherst 098,sux,tag,,1,5(disz) sila3 kasz 3(disz) sila3 ninda,
P100937,Amherst 098,sux,tag,,2,2(disz) gin2 i3,
P100937,Amherst 098,sux,tag,,3,lugal-ni-mah,
P100937,Amherst 098,sux,tag,,4,5(disz) sila3 kasz 3(disz) sila3 ninda,
P100937,Amherst 098,sux,tag,,5,2(disz) gin2 i3,
P100937,Amherst 098,sux,tag,,6,lugal-si-sa2,
P100937,Amherst 098,sux,tag,,1,5(disz) sila3 kasz 3(disz) sila3 ninda,
P100937,Amherst 098,sux,tag,,2,2(disz) gin2 i3,
P100937,Amherst 098,sux,tag,,3,{d}nanna-zi,
P100937,Amherst 098,sux,tag,,4,5(disz) sila3 kasz 3(disz) sila3 ninda,
P100937,Amherst 098,sux,tag,,5,2(disz) gin2 i3,
P100937,Amherst 098,sux,tag,,6,er3-ra-ur-sag,
P100937,Amherst 098,sux,tag,,7,iti szu-numun,
P100937,Amherst 098,sux,tag,,8,mu en eridu{ki} ba-a-hun,
P100943,Amherst 104,sux,tag,,1,1(u) 3(asz) 3(barig) 3(ban2) sze gur lugal,
P100943,Amherst 104,sux,tag,,2,sze nig2-gal2-la zi3 KA-sze3,
P100943,Amherst 104,sux,tag,,3,ki ku3-{d}nansze-ta,
P100943,Amherst 104,sux,tag,,4,kiszib3 lugal-lu2-sa6-sa6,
P100943,Amherst 104,sux,tag,,1,giri3 ur-ab-ba,
P100943,Amherst 104,sux,tag,,2,mu en-nun-ne2 ki-ag2 {d}amar-{d}suen eridu{ki} ba-hun,
P100943,Amherst 104,sux,tag,,1,lugal-lu2-sa6-sa6,
P100943,Amherst 104,sux,tag,,2,dub-sar,
P100943,Amherst 104,sux,tag,,3,dumu nimgir-sza3-kusz2-[an-na],
P100958,Amherst 119,sux,tag,,1,8(disz) kusz gu4,
P100958,Amherst 119,sux,tag,,2,3(gesz2) 5(disz) kusz udu,
P100958,Amherst 119,sux,tag,,3,ki ur-{d}ha-ia3-ta,
P100958,Amherst 119,sux,tag,,4,kusz {kusz}suhub2-sze3,
P100958,Amherst 119,sux,tag,,5,kux(KWU147)-ra-ni-sa6,
